UDI,ProductID,Type,AirTemperature_K_,ProcessTemperature_K_,RotationalSpeed_rpm_,Torque_Nm_,ToolWear_min_,FailureType
9577,L56756,L,299.6,310.7,1922,23.3,205,1
4374,M19233,M,301.9,309.7,1533,35.9,204,0
9627,M24486,M,299,310,1341,58.9,126,0
5472,L52651,L,302.7,312.3,1346,61.2,170,1
4762,H34175,H,303.7,311.9,1332,52.7,66,1
4815,L51994,L,303.4,311.8,1401,53,208,1
4174,M19033,M,302.2,310.6,1346,49.2,134,1
4284,M19143,M,301.8,309.9,1334,61,182,1
8372,L55551,L,298.7,309.7,1881,21.7,29,0
4362,M19221,M,302.1,310.1,1379,48.2,166,1
3866,H33279,H,302.6,311.5,1629,34.4,228,1
8249,L55428,L,298.9,310.3,1456,44.1,118,0
4079,H33492,H,302.1,310.7,1294,62.4,101,1
6526,L53705,L,301.1,310.4,1312,73.6,49,1
4415,L51594,L,302.7,310.5,1520,39.3,73,0
2767,M17626,M,299.9,309.4,1889,26,6,0
4208,M19067,M,302.3,310.9,1710,30.4,218,1
1031,L48210,L,296.3,307.4,1760,28.4,56,0
6173,L53352,L,300.8,310.6,1577,37.9,227,1
169,L47348,L,298.4,308.3,1433,62.3,20,1
4817,L51996,L,303.4,312,1521,35.9,215,1
1571,L48750,L,298.2,308.4,1452,43.5,158,0
904,L48083,L,295.7,306.2,2270,14.6,149,1
4271,L51450,L,302.6,310.9,1331,52,154,1
3950,L51129,L,302.3,311.5,1384,50.8,13,0
2774,L49953,L,299.9,309.4,1858,22.5,22,0
1193,M16052,M,297.2,308.3,1431,43.7,46,0
9074,L56253,L,297.2,308.1,1689,31.2,145,0
1403,M16262,M,298.9,310.1,1313,56.8,171,0
6971,L54150,L,300.7,311,1436,44.9,119,0
8159,L55338,L,299.6,310.8,1400,40.8,118,0
5938,M20797,M,300.6,310.5,1462,41.3,68,0
4666,M19525,M,303.4,311.4,1307,54,44,1
4566,H33979,H,302.7,310.8,1275,55,25,1
8355,L55534,L,298.6,309.6,1390,50.3,196,0
1764,L48943,L,298.2,307.6,1511,31,209,1
9660,L56839,L,298.9,309.8,1287,61.9,216,1
5769,L52948,L,301.7,311.3,1421,45.9,85,0
2682,L49861,L,299.8,309.5,1545,32.2,18,0
1407,L48586,L,298.9,310.1,1442,48,181,0
4159,L51338,L,301.9,310.4,1889,21.5,92,0
4644,L51823,L,303.2,311.4,1324,54.2,228,1
5006,M19865,M,303.7,312.9,1444,52.7,46,0
2880,M17739,M,300.6,309.4,1367,63.2,45,1
9322,L56501,L,298.4,309.2,1335,53.5,168,0
2073,L49252,L,299.6,309.5,1570,35.5,189,1
6249,L53428,L,300.8,310.1,1405,61.2,189,1
9429,H38842,H,298.2,308.8,1837,28.4,34,0
2334,L49513,L,299.2,308.5,1445,45.2,222,0
1493,M16352,M,298,308.7,1479,58.5,176,1
1136,L48315,L,296.9,307.9,1535,39.2,133,0
476,L47655,L,297.4,309.1,1380,41.1,152,0
4622,L51801,L,303,311.2,1341,51,174,1
5649,L52828,L,302.5,311.9,1401,44.9,203,0
4633,M19492,M,302.9,311.2,1330,53.7,200,1
6390,H35803,H,300.3,309.9,1677,30.1,130,0
938,L48117,L,295.6,306.2,1263,61.8,27,0
2922,L50101,L,300.8,309.8,1657,31.1,151,0
7471,L54650,L,300.4,311.6,1332,54.6,111,0
1088,H30501,H,296.9,307.8,1549,35.8,206,1
9664,L56843,L,299.1,310.1,1435,48.8,229,1
1729,L48908,L,298.3,307.7,1465,49.4,109,0
4280,L51459,L,302,310.1,1361,45.4,174,1
1809,L48988,L,298.1,307.7,2567,12.8,125,1
4476,L51655,L,302.7,310.5,1351,41.8,10,1
1502,M16361,M,298,308.7,1436,48.2,201,0
7281,L54460,L,299.9,310.2,1288,69.6,62,1
6298,M21157,M,301.1,310.5,1309,60.7,100,0
4248,L51427,L,302.6,311,1369,60,93,1
3300,L50479,L,301.3,310.5,1390,45.8,63,0
5440,L52619,L,303,312.5,1626,30.5,87,0
8193,L55372,L,299.6,310.9,1229,65.2,209,1
7532,H36945,H,300.1,311.4,1377,56.7,50,0
2678,L49857,L,299.8,309.5,1495,39.6,10,0
251,L47430,L,298,308.3,1662,32.7,0,0
7356,L54535,L,299.6,310.2,1588,34.1,38,0
1133,L48312,L,296.8,307.9,1271,61.4,125,0
9179,L56358,L,297.8,309,1340,56.9,6,0
9995,L57174,L,298.8,308.3,1634,27.9,12,0
4703,L51882,L,303.6,311.8,1222,66.8,148,1
3370,L50549,L,301.5,310.9,2760,8,15,1
6246,L53425,L,300.9,310.4,1445,41.7,180,0
2333,L49512,L,299.2,308.5,1378,50.4,220,1
427,L47606,L,297.4,308.5,1501,44.9,20,0
3151,L50330,L,300.4,309.8,1513,32.9,117,0
7281,L54460,L,299.9,310.2,1288,69.6,62,1
7870,M22729,M,300.5,312,1779,27.7,46,0
4650,M19509,M,303.3,311.4,1395,59.1,4,0
4122,M18981,M,302.1,310.7,1364,47.8,213,1
3697,L50876,L,302.1,311.2,1454,46.8,0,0
4832,L52011,L,303.5,312,1366,54.5,30,1
7436,L54615,L,299.9,311.3,1504,40.7,20,0
7150,L54329,L,300.2,309.8,1506,41.8,161,0
296,M15155,M,298.1,308.6,1716,30.7,119,0
8200,L55379,L,299.2,310.7,1737,27,225,1
4730,L51909,L,303.4,311.8,1306,61,215,1
8270,H37683,H,299.2,310.8,1761,30.4,180,0
3458,M18317,M,301.5,310.4,2639,12,21,1
1335,L48514,L,299,310.4,1365,49.1,226,1
6434,L53613,L,300.3,309.9,1570,34,31,0
6991,L54170,L,300.7,311.1,2478,13.4,170,1
161,L47340,L,298.4,308.2,1282,60.7,216,1
8608,L55787,L,297.5,308.4,1433,50,218,0
3661,L50840,L,302.3,311.6,1398,49.1,119,0
1384,M16243,M,298.9,310.2,1331,49,121,0
4656,L51835,L,303.1,311.1,1854,22.6,19,0
4390,M19249,M,302.1,310,1355,45.1,6,1
1162,L48341,L,297,307.8,1316,61.2,200,1
9548,L56727,L,299.6,311.1,1679,30.7,129,0
3505,M18364,M,301.7,310.8,1524,41.3,147,0
6925,L54104,L,301.2,311.6,1461,52.9,208,1
4815,L51994,L,303.4,311.8,1401,53,208,1
6526,L53705,L,301.1,310.4,1312,73.6,49,1
7680,L54859,L,300.7,311.7,1635,32.4,213,0
4750,L51929,L,303.2,311.2,1404,50.9,31,0
4422,L51601,L,302.6,310.2,1325,62.4,92,1
6800,M21659,M,301.1,310.7,2636,12.2,100,1
1764,L48943,L,298.2,307.6,1511,31,209,1
3696,L50875,L,302.2,311.3,1530,37.3,207,1
3587,L50766,L,301.8,310.5,1593,34.9,139,0
6094,L53273,L,301,310.8,1375,57.2,20,0
5965,H35378,H,300.5,310.8,1631,30.5,132,0
649,H30062,H,297.7,309.3,1400,48.9,147,0
4730,L51909,L,303.4,311.8,1306,61,215,1
5256,M20115,M,303.5,313,1403,51.9,77,0
4358,L51537,L,302,309.9,1407,52.8,154,0
4293,M19152,M,301.8,310.1,2372,13.9,205,1
6756,M21615,M,301.8,311.1,1663,31.6,199,0
9560,L56739,L,299.5,310.9,1496,38.5,162,0
4406,L51585,L,302.4,310.2,1331,45.5,53,1
5070,M19929,M,304.2,313.2,1380,48.7,17,0
7561,M22420,M,300.3,311.3,1377,53.8,125,0
2479,M17338,M,298.9,308.5,1456,50,156,0
169,L47348,L,298.4,308.3,1433,62.3,20,1
3241,L50420,L,300.9,309.5,1612,35.2,124,0
4165,L51344,L,302.2,310.6,1346,47.5,109,1
2727,M17586,M,299.8,309.4,1423,42.9,124,0
5215,L52394,L,303.7,312.7,1572,37.2,192,0
1158,L48337,L,297,307.8,1583,37.2,189,0
7057,M21916,M,300.8,310.5,1409,50.6,141,0
1493,M16352,M,298,308.7,1479,58.5,176,1
2442,L49621,L,299.1,308.5,1676,31,69,0
2512,M17371,M,299,308.9,1526,41.1,20,0
9928,L57107,L,298.5,308.6,1522,36.9,53,0
6526,L53705,L,301.1,310.4,1312,73.6,49,1
1565,M16424,M,298,308.2,2090,19,143,0
1096,L48275,L,296.9,307.5,2721,9.3,18,1
8196,L55375,L,299.4,310.8,1376,53.9,215,1
6681,L53860,L,301.5,310.8,1417,49.7,5,0
2591,L49770,L,299,308.7,1396,48.6,0,0
8569,L55748,L,297.9,308.6,1691,29.6,116,0
7360,M22219,M,299.4,310,1512,43.2,47,0
5642,L52821,L,302.6,312.1,1473,37.3,184,0
9831,L57010,L,298.3,309.3,1337,56.1,206,1
4637,L51816,L,303,311.3,1466,43,210,0
7088,L54267,L,300.6,310.3,1648,30.5,217,1
8246,M23105,M,299,310.3,1303,68.6,111,1
3723,L50902,L,302.2,311.2,1451,41.8,66,0
6135,L53314,L,301,311,1581,37,127,0
1448,M16307,M,299,310.3,1662,33.6,67,0
9176,L56355,L,297.8,309,1403,64.2,0,1
464,L47643,L,297.4,308.7,2874,4.2,118,1
6755,L53934,L,301.8,311.1,1495,36.9,197,0
4003,L51182,L,302.1,311.2,1454,59.2,153,1
8832,H38245,H,297.4,308.7,1726,26.8,158,0
9614,L56793,L,299,310.2,1377,62.5,92,1
4183,L51362,L,302.4,310.7,1362,54.8,155,1
5490,L52669,L,302.6,312.1,1499,35,215,1
1785,L48964,L,298.3,308,2886,3.8,57,1
5402,M20261,M,302.6,312.3,1454,54.8,253,1
604,L47783,L,297.9,309.8,1336,71.6,31,1
78,L47257,L,298.8,308.9,1455,41.3,208,1
4043,L51222,L,302,310.9,1564,39,15,0
672,L47851,L,297.5,308.9,1554,34.8,204,0
9655,L56834,L,299.1,310,1367,56.3,203,1
8499,L55678,L,298.4,309.6,1479,37.8,144,0
1585,M16444,M,298.2,308.3,1639,33.3,191,0
2839,L50018,L,300.3,309.3,1478,39.5,180,0
8358,L55537,L,298.5,309.5,1385,46.3,203,1
7191,L54370,L,300.3,310.3,1345,46.3,50,0
8022,M22881,M,301,312,1499,34.6,207,0
7590,L54769,L,300.4,311,1802,26,197,0
5491,L52670,L,302.6,312.1,1288,68.5,0,1
374,L47553,L,297.4,308.3,1412,42,111,0
3066,M17925,M,300.1,309.2,1687,27.7,95,1
8112,M22971,M,300.4,311.8,1553,33.1,209,1
4286,L51465,L,301.7,309.9,1317,49,187,1
2873,L50052,L,300.8,309.6,1680,28.7,22,0
7819,L54998,L,299.8,311.2,2142,16.6,144,0
3935,M18794,M,302.6,311.6,1518,39,184,0
